gene,logFC,logCPM,PValue,FDR
Dmagna031288-T1,-7.01141265714317,6.38203857268138,1.50199540778535e-14,2.01192284872848e-10
Dmagna031287-T1,-5.51533101825834,4.23998747629492,3.20519006071479e-10,2.14667604316373e-06
Dmagna014580-T2,2.53243630903557,2.15394832660157,6.76768243810577e-09,2.60113850332965e-05
Dmagna014592-T1,-2.215230121482,5.06111879044352,7.76749086473954e-09,2.60113850332965e-05
Dmagna021090-T1,5.79700376032675,0.704257834718278,1.31530431153674e-08,3.52370025060693e-05
Dmagna010626-T1,4.44422563073098,2.22152714487072,3.06340591493267e-07,0.000683905370508719
Dmagna012438-T1,-9.46370692772857,6.46621462865541,5.46689768697169e-07,0.00104612992167123
Dmagna025469-T1,7.25037840538116,0.0317376528869319,8.80673347942808e-07,0.00147457743696174
Dmagna018853-T1,-7.14366037912094,3.48416080216266,1.10272791227308e-06,0.00164122670943311
Dmagna012552-T1,-5.77986802697849,5.60288639318386,1.34298407156295e-06,0.00179892716385858
Dmagna010961-T1,2.84974563573058,1.93614268137528,1.80418075504347e-06,0.00219700011034611
Dmagna025468-T1,6.5213896508466,3.06829792482271,3.99409522034026e-06,0.00432116934851675
Dmagna024818-T1,-1.34688651411717,3.85035125832595,4.19374404857915e-06,0.00432116934851675
Dmagna025479-T1,-1.99877408475005,0.709438263067204,7.01859832059445e-06,0.00646356932777545
Dmagna026708-T1,-8.56043017290878,6.67162224350667,7.57496576027554e-06,0.00646356932777545
Dmagna024817-T1,-1.61862511760747,2.1621858092982,7.72057553149737e-06,0.00646356932777545
Dmagna004126-T1,-3.82466269943985,1.39527260588694,8.77240300253227e-06,0.0069121375422894
Dmagna009409-T1,-1.99818977350105,4.32531361070539,1.30954989435472e-05,0.00929730715505474
Dmagna026879-T1,-3.11763771948571,5.04203970823432,1.31876697234819e-05,0.00929730715505474
Dmagna019328-T1,-7.50515454183661,3.12110701935889,2.39063491008996e-05,0.0160112773103275
Dmagna023857-T1,-1.38772331853561,6.86597138007405,3.92726759209116e-05,0.0241173402594009
Dmagna000389-T1,2.76652679897545,4.45010849505884,4.23252083878055e-05,0.0241173402594009
Dmagna000611-T1,3.9872348203745,1.97385189786644,4.52019855545223e-05,0.0241173402594009
Dmagna024308-T1,2.21121013858141,4.27695893076861,4.61501190515177e-05,0.0241173402594009
Dmagna014703-T1,7.23140387539165,4.5497161267037,4.65134853026156e-05,0.0241173402594009
Dmagna030739-T1,-6.32934453201571,2.98862916858452,4.68123065878629e-05,0.0241173402594009
Dmagna026753-T1,-2.08982034683011,1.65598545406629,5.16614808035694e-05,0.0250963291260206
Dmagna000210-T1,-4.93727858857592,3.0885830079753,5.53912132005807e-05,0.0250963291260206
Dmagna030582-T1,-4.79233537811433,3.23611156996008,5.62067841568211e-05,0.0250963291260206
Dmagna019071-T1,-4.20470150317475,3.45851630564683,6.04893698721947e-05,0.0261372615947758
Dmagna026965-T1,-5.36723095279918,3.79786089257465,6.26550614951783e-05,0.0262270171477473
Dmagna001418-T1,9.68521514702814,4.55765602492979,6.88705388417831e-05,0.0278213128886884
Dmagna012496-T1,-5.99410391752492,5.34996797267377,7.06177408148865e-05,0.0278213128886884
Dmagna016460-T1,-5.10243402949821,2.54642022838231,7.38460161395802e-05,0.0282619253197051
Dmagna018746-T1,-3.25203868420939,1.17381504709007,8.12110869431166e-05,0.0300014610423202
Dmagna009411-T1,-1.32522861192326,2.87308739590753,8.28707770485889e-05,0.0300014610423202
Dmagna010627-T1,6.28790881644819,-0.448308479426999,9.04366389519725e-05,0.0300416575187135
Dmagna034032-T1,1.86438914177434,1.47373550319614,9.12299818343528e-05,0.0300416575187135
Dmagna001785-T1,-3.67185499567871,5.39179389704902,9.30511050999352e-05,0.0300416575187135
Dmagna016052-T1,4.470765526656,-0.164479233965261,9.41423726978162e-05,0.0300416575187135
Dmagna024813-T1,-4.14464639739202,5.92973351441456,9.56242070234304e-05,0.0300416575187135
Dmagna018762-T1,-1.79665058770899,5.36381825694616,9.64383182758253e-05,0.0300416575187135
Dmagna026373-T1,-3.84595492099058,4.40592236066534,0.000106479229507458,0.0324156654375546
Dmagna020226-T1,-3.25804143442177,2.25870445687769,0.000123270596841015,0.0366935476596754
Dmagna026372-T1,-3.88539864396304,3.04151662452062,0.00013531136680288,0.0386586864324227
Dmagna018682-T1,2.97078450648216,1.83643906512198,0.000135644513797974,0.0386586864324227
Dmagna005158-T1,-3.7410672719594,2.69204781937528,0.000169461476872967,0.0469155649752526
Dmagna030855-T1,-2.26634586887954,1.87143054580713,0.000171620954370092,0.0469155649752526
Dmagna010241-T1,-2.66273906939117,0.787117277409191,0.000179427897518386,0.0472829208979009
Dmagna004942-T1,-2.08924845435972,3.48839860201922,0.000180024558849791,0.0472829208979009
Dmagna028992-T1,-1.96486802355942,4.54547965135089,0.000195027781313011,0.0478926380793495
Dmagna006428-T1,1.62622601876389,2.25237550241336,0.000195508071170738,0.0478926380793495
Dmagna003992-T1,3.35094568735568,3.07509700009464,0.000196647636757314,0.0478926380793495
Dmagna018530-T1,-2.49768242851293,4.05282888640652,0.00020416325009147,0.0483191652592485
Dmagna027216-T1,-3.60904447610379,5.57586538762261,0.000205613469188291,0.0483191652592485
